mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value,attack
Test,Normal_accuracy,,,,,,71.83,
Test,Robust_accuracy,Fgsm,Total_accuracy,,,,22.95,
Test,Robust_accuracy,Fgsm,,Correct_accuracy,,,31.699846860643184,
Test,Robust_accuracy,Apgd-ce,Total_accuracy,,,,0.0,
Test,Robust_accuracy,Apgd-ce,,Correct_accuracy,,,0.0,
Test,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,2.9499999999999997,
Test,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,4.106919114576082,
Test,Feature_diff,,,,,,4.497735500335693,Fgsm
Test,Feature_diff,,,,,,8.504156112670898,Apgd-ce
Test,Feature_diff,,,,,,4.227297306060791,simple_APGD_10_iters
